species;original.name;section;mean;weighted_squaredSEM;Ncyt;Culm.length.mp;Culm.length.1.4;Leaf.width.mp;Leaf.width.1.4;Utricle.length.mp;Utricle.length.1.4;LI.length.mp;LI.length.1.4;TI.length.mp;TI.length.1.4;Samples_bioclim;bio1_Mean;bio2_Mean;bio3_Mean;bio4_Mean;bio5_Mean;bio6_Mean;bio7_Mean;bio8_Mean;bio9_Mean;bio10_Mean;bio11_Mean;bio12_Mean;bio13_Mean;bio14_Mean;bio15_Mean;bio16_Mean;bio17_Mean;bio18_Mean;bio19_Mean;squaredSEM_bioclim1;squaredSEM_bioclim2;squaredSEM_bioclim3;squaredSEM_bioclim4;squaredSEM_bioclim5;squaredSEM_bioclim6;squaredSEM_bioclim7;squaredSEM_bioclim8;squaredSEM_bioclim9;squaredSEM_bioclim10;squaredSEM_bioclim11;squaredSEM_bioclim12;squaredSEM_bioclim13;squaredSEM_bioclim14;squaredSEM_bioclim15;squaredSEM_bioclim16;squaredSEM_bioclim17;squaredSEM_bioclim18;squaredSEM_bioclim19
Carex siccata;Carex_siccata|ONT|spm00002070;Disticha Clade;70;22.38064686;1;52.5;18.75;2.1;0.55;5.2;0.65;NA;NA;NA;NA;489;38.30265849;125.1022495;29.96319018;10269.15542;247.7627812;-173.8384458;421.601227;140.402863;-55.59304703;165.0286299;-98.73006135;671.4335378;89.34969325;30.18813906;38.59100204;244.8997955;103.392638;233.4642127;117.2658487;1494.014768;375.6001794;56.39208488;5226665.332;1066.046071;4288.549666;3516.441064;3526.269746;7429.692656;1287.597539;3657.648295;51953.58625;396.6213165;427.9112525;340.1725418;3286.319857;4270.681585;3029.503327;5550.113606
Carex divisa;Carex_divisa|MRY|spm00002064;Divisae Clade;59.71428571;3.197235266;7;30;10;2;0.5;3.25;0.375;9;2;9;2;776;135.8247423;93.08762887;37.32474227;5466.033505;272.0940722;24.3814433;247.7126289;106.8891753;179.5476804;206.6649485;67.3685567;688.382732;96.31056701;23.95747423;41.65979381;261.4239691;89.51804124;104.3015464;225.0309278;988.3640838;420.7174726;33.41698703;1541376.66;1527.644042;1759.382055;2421.149569;1360.718025;5228.402885;1042.566305;1546.413668;47123.21462;1258.40794;390.0381892;623.1279814;9010.703889;3919.813868;5116.889598;9753.764204
Carex durieui;Carex_durieui|SPA|spm00004386;Durieui Clade;52.25;5.595161715;4;40;5;0.65;0.075;5.85;0.175;9.5;0.75;18;1;62;129.2419355;80.01612903;40.90322581;3920.5;236.6129032;43.51612903;193.0967742;94.48387097;178.9516129;181.4677419;81.35483871;1065.258065;145.5645161;32.98387097;38.40322581;397.5645161;127.9516129;143.9193548;358.9354839;299.8913273;121.0325225;3.433104178;157808.5164;205.6837652;511.6308831;479.7281861;357.0407192;203.0631941;209.1054997;379.6753041;33867.24379;874.5121629;107.3276044;84.27736647;7200.708884;881.3910629;933.7474881;9483.471179
Carex duriuscula;Carex_duriuscula|ASK|spm00001653;Duriuscula Clade;57.33333333;7.46021562;3;22.5;6.25;1.2;0.3;3.15;0.375;50;5;50;5;405;35.78518519;138.5580247;31.27901235;10889.68148;262.5506173;-187.2987654;449.8493827;153.6074074;-72.74074074;171.962963;-107.5851852;463.854321;77.09382716;14.15802469;54.98765432;204.4469136;48.6617284;192.762963;55.57777778;2906.906711;450.2373426;62.33532575;9474475.653;1976.554981;6935.120914;5203.474783;3026.788559;7502.806381;1780.317932;7544.614631;34907.31288;963.0406796;82.60367926;342.2250947;6355.069576;884.4669723;6176.671397;1505.952475
Carex stenophylla;Carex_stenophylla|HUN|spm00002178;Duriuscula Clade;60.4;4.476129372;5;25;7.5;0.75;0.125;3.75;0.375;6.5;1.25;NA;NA;267;39.47191011;113.7602996;29.56928839;9431.35206;235.5018727;-150.0449438;385.5468165;94.57303371;-10.57303371;156.5168539;-85.45318352;403.7340824;61.66666667;15.4082397;47.0411985;164.7153558;53.78277154;124.6741573;81.86516854;2820.430599;452.0099969;46.44912844;3976736.334;3117.649433;5472.321281;3668.902875;8751.749345;9434.696714;2809.09276;4465.166033;51109.65459;1224.756892;166.4906085;579.9268677;8857.091605;1714.85489;8063.258089;3967.071978
Carex ericetorum;Carex_ericetorum|ITA|spm00000551;Ericetorum Clade;30.16666667;1.865053905;12;17.5;6.25;3;0.5;2.25;0.125;10.5;2.25;12.5;1.25;827;46.6541717;78.03022975;25.84280532;7964.466747;208.9758162;-95.90326481;304.879081;128.0544135;-15.22370012;149.7726723;-54.39540508;696.2176542;84.53083434;36.63240629;27.61426844;233.5840387;120.1305925;216.6590085;144.6384522;1223.899628;146.254533;23.71860132;4705347.024;755.6604314;4268.424045;4910.844925;2007.15321;3741.219873;633.9192039;3381.004482;54527.00342;562.510852;289.799336;101.0483676;4510.107638;3158.893337;2905.818209;4455.633047
Carex melanocarpa;Carex_melanocarpa|KHA|spm00003594;Ericetorum Clade;23.25;2.797580858;8;10;2.5;2;0.25;1.75;0.125;8;2.5;9.5;1.75;96;-111.9375;92.70833333;17.32291667;15323.21875;164.5833333;-357.8854167;522.46875;78.26041667;-250.7395833;87.13541667;-299.4375;382.9479167;59.36458333;14.54166667;48.07291667;161.40625;48.65625;155.8645833;59.57291667;1309.848684;214.7982456;2.831469298;8556999.078;1711.024561;4230.144627;8275.620066;1248.384101;6314.552522;1117.54989;3912.059211;24809.62884;487.0130482;66.1877193;133.5419956;3728.075329;744.4595395;3349.613048;1316.647259
Carex donnell-smithii;Carex_donnellsmithii||NCBI_Ton_3535;Fecundae;10;22.38064686;1;75;22.5;9.5;2.75;3.75;0.375;70;20;70;20;52;144.0769231;103.6538462;74.21153846;930.5384615;212.8653846;72.28846154;140.5769231;148.6153846;136.3269231;153.6923077;130.3653846;2171.826923;357.3269231;34.84615385;67.07692308;934.6153846;126.2884615;648.75;232.8076923;1423.131222;509.4856712;24.48378582;189561.9789;2510.471719;1227.111237;1416.444947;1431.574661;1552.028281;1668.099548;1302.236425;550570.0283;9427.047888;478.4856712;239.719457;61005.65309;6018.248492;47803.28922;33653.64857
Carex pichinchensis;Carex_pichinchensis|ECU|spm00000538;Fecundae;83;7.46021562;3;NA;NA;7;0.5;3.25;0.125;20;5;NA;NA;92;84.89130435;98.26086957;80.32608696;574.9021739;145.5;21.43478261;124.0652174;86.85869565;79.4673913;90.56521739;76.35869565;1401.097826;192.0869565;44.20652174;40.52173913;517.1413043;174.75;387.6086957;331.0434783;2124.911132;583.6015289;48.6837076;672739.8475;2591.21978;2659.149546;1837.753942;2035.749044;2402.537387;2116.929766;2388.803989;297857.0343;8599.003344;677.7480889;318.4280936;58022.54025;7566.123626;18777.99904;76313.3827
Carex filifolia var. filifolia;Carex_filifolia_var_filifolia|CAL|spm00001432;Filifolia Clade;50;22.38064686;1;20;7.5;0.5;0.1;3.35;0.725;0;0;18.5;5.75;88;57.73863636;139.5454545;31.98863636;10257.82955;281.4545455;-156.1022727;437.5568182;149.2727273;-47.04545455;186.7840909;-77.57954545;466.9772727;78.27272727;12.56818182;55.80681818;209.5909091;43.39772727;180.9659091;60.11363636;646.1952717;306.0898642;38.60906479;3975393.821;1229.768025;2023.587121;2682.778344;5511.097179;7128.6186;1094.837905;1806.844175;13443.53971;367.4649948;16.20219436;137.1001829;2707.669801;199.4836729;4078.194227;3180.354754
